,is_marker,is_mitochondrial
GENE_0063,False,False
GENE_0064,False,False
GENE_0065,False,False
GENE_0066,False,False
GENE_0067,False,False
GENE_0068,False,False
GENE_0069,False,False
GENE_0070,False,False
GENE_0071,False,False
GENE_0072,False,False
GENE_0073,False,False
GENE_0074,False,False
GENE_0075,False,False
GENE_0076,False,False
GENE_0077,False,False
GENE_0078,False,False
GENE_0079,False,False
GENE_0080,False,False
GENE_0081,False,False
GENE_0082,False,False
GENE_0083,False,False
GENE_0084,False,False
GENE_0085,False,False
GENE_0086,False,False
GENE_0087,False,False
GENE_0088,False,False
GENE_0089,False,False
GENE_0090,False,False
GENE_0091,False,False
GENE_0092,False,False
GENE_0093,False,False
GENE_0094,False,False
GENE_0095,False,False
GENE_0096,False,False
GENE_0097,False,False
GENE_0098,False,False
GENE_0099,False,False
GENE_0100,False,False
GENE_0101,False,False
GENE_0102,False,False
GENE_0103,False,False
GENE_0104,False,False
GENE_0105,False,False
GENE_0106,False,False
GENE_0107,False,False
GENE_0108,False,False
GENE_0109,False,False
GENE_0110,False,False
GENE_0111,False,False
GENE_0112,False,False
GENE_0113,False,False
GENE_0114,False,False
GENE_0115,False,False
GENE_0116,False,False
GENE_0117,False,False
GENE_0118,False,False
GENE_0119,False,False
GENE_0120,False,False
GENE_0121,False,False
GENE_0122,False,False
GENE_0123,False,False
GENE_0124,False,False
GENE_0125,False,False
GENE_0126,False,False
GENE_0127,False,False
GENE_0128,False,False
GENE_0129,False,False
GENE_0130,False,False
GENE_0131,False,False
GENE_0132,False,False
GENE_0133,False,False
GENE_0134,False,False
GENE_0135,False,False
GENE_0136,False,False
GENE_0137,False,False
GENE_0138,False,False
GENE_0139,False,False
GENE_0140,False,False
GENE_0141,False,False
GENE_0142,False,False
GENE_0143,False,False
GENE_0144,False,False
GENE_0145,False,False
GENE_0146,False,False
GENE_0147,False,False
GENE_0148,False,False
GENE_0149,False,False
GENE_0150,False,False
GENE_0151,False,False
GENE_0152,False,False
GENE_0153,False,False
GENE_0154,False,False
GENE_0155,False,False
GENE_0156,False,False
GENE_0157,False,False
GENE_0158,False,False
GENE_0159,False,False
GENE_0160,False,False
GENE_0161,False,False
GENE_0162,False,False
GENE_0163,False,False
GENE_0164,False,False
GENE_0165,False,False
GENE_0166,False,False
GENE_0167,False,False
GENE_0168,False,False
GENE_0169,False,False
GENE_0170,False,False
GENE_0171,False,False
GENE_0172,False,False
GENE_0173,False,False
GENE_0174,False,False
GENE_0175,False,False
GENE_0176,False,False
GENE_0177,False,False
GENE_0178,False,False
GENE_0179,False,False
GENE_0180,False,False
GENE_0181,False,False
GENE_0182,False,False
GENE_0183,False,False
GENE_0184,False,False
GENE_0185,False,False
GENE_0186,False,False
GENE_0187,False,False
GENE_0188,False,False
GENE_0189,False,False
GENE_0190,False,False
GENE_0191,False,False
GENE_0192,False,False
GENE_0193,False,False
GENE_0194,False,False
GENE_0195,False,False
GENE_0196,False,False
GENE_0197,False,False
GENE_0198,False,False
GENE_0199,False,False
GENE_0200,False,False
GENE_0201,False,False
GENE_0202,False,False
GENE_0203,False,False
GENE_0204,False,False
GENE_0205,False,False
GENE_0206,False,False
GENE_0207,False,False
GENE_0208,False,False
GENE_0209,False,False
GENE_0210,False,False
GENE_0211,False,False
GENE_0212,False,False
GENE_0213,False,False
GENE_0214,False,False
GENE_0215,False,False
GENE_0216,False,False
GENE_0217,False,False
GENE_0218,False,False
GENE_0219,False,False
GENE_0220,False,False
GENE_0221,False,False
GENE_0222,False,False
GENE_0223,False,False
GENE_0224,False,False
GENE_0225,False,False
GENE_0226,False,False
GENE_0227,False,False
GENE_0228,False,False
GENE_0229,False,False
GENE_0230,False,False
GENE_0231,False,False
GENE_0232,False,False
GENE_0233,False,False
GENE_0234,False,False
GENE_0235,False,False
GENE_0236,False,False
GENE_0237,False,False
GENE_0238,False,False
GENE_0239,False,False
GENE_0240,False,False
GENE_0241,False,False
GENE_0242,False,False
GENE_0243,False,False
GENE_0244,False,False
GENE_0245,False,False
GENE_0246,False,False
GENE_0247,False,False
GENE_0248,False,False
GENE_0249,False,False
GENE_0250,False,False
GENE_0251,False,False
GENE_0252,False,False
GENE_0253,False,False
GENE_0254,False,False
GENE_0255,False,False
GENE_0256,False,False
GENE_0257,False,False
GENE_0258,False,False
GENE_0259,False,False
GENE_0260,False,False
GENE_0261,False,False
GENE_0262,False,False
GENE_0263,False,False
GENE_0264,False,False
GENE_0265,False,False
GENE_0266,False,False
GENE_0267,False,False
GENE_0268,False,False
GENE_0269,False,False
GENE_0270,False,False
GENE_0271,False,False
GENE_0272,False,False
GENE_0273,False,False
GENE_0274,False,False
GENE_0275,False,False
GENE_0276,False,False
GENE_0277,False,False
GENE_0278,False,False
GENE_0279,False,False
GENE_0280,False,False
GENE_0281,False,False
GENE_0282,False,False
GENE_0283,False,False
GENE_0284,False,False
GENE_0285,False,False
GENE_0286,False,False
GENE_0287,False,False
GENE_0288,False,False
GENE_0289,False,False
GENE_0290,False,False
GENE_0291,False,False
GENE_0292,False,False
GENE_0293,False,False
GENE_0294,False,False
GENE_0295,False,False
GENE_0296,False,False
GENE_0297,False,False
GENE_0298,False,False
GENE_0299,False,False
GENE_0300,False,False
GENE_0301,False,False
GENE_0302,False,False
GENE_0303,False,False
GENE_0304,False,False
GENE_0305,False,False
GENE_0306,False,False
GENE_0307,False,False
GENE_0308,False,False
GENE_0309,False,False
GENE_0310,False,False
GENE_0311,False,False
GENE_0312,False,False
GENE_0313,False,False
GENE_0314,False,False
GENE_0315,False,False
GENE_0316,False,False
GENE_0317,False,False
GENE_0318,False,False
GENE_0319,False,False
GENE_0320,False,False
GENE_0321,False,False
GENE_0322,False,False
GENE_0323,False,False
GENE_0324,False,False
GENE_0325,False,False
GENE_0326,False,False
GENE_0327,False,False
GENE_0328,False,False
GENE_0329,False,False
GENE_0330,False,False
GENE_0331,False,False
GENE_0332,False,False
GENE_0333,False,False
GENE_0334,False,False
GENE_0335,False,False
GENE_0336,False,False
GENE_0337,False,False
GENE_0338,False,False
GENE_0339,False,False
GENE_0340,False,False
GENE_0341,False,False
GENE_0342,False,False
GENE_0343,False,False
GENE_0344,False,False
GENE_0345,False,False
GENE_0346,False,False
GENE_0347,False,False
GENE_0348,False,False
GENE_0349,False,False
GENE_0350,False,False
GENE_0351,False,False
GENE_0352,False,False
GENE_0353,False,False
GENE_0354,False,False
GENE_0355,False,False
GENE_0356,False,False
GENE_0357,False,False
GENE_0358,False,False
GENE_0359,False,False
GENE_0360,False,False
GENE_0361,False,False
GENE_0362,False,False
GENE_0363,False,False
GENE_0364,False,False
GENE_0365,False,False
GENE_0366,False,False
GENE_0367,False,False
GENE_0368,False,False
GENE_0369,False,False
GENE_0370,False,False
GENE_0371,False,False
GENE_0372,False,False
GENE_0373,False,False
GENE_0374,False,False
GENE_0375,False,False
GENE_0376,False,False
GENE_0377,False,False
GENE_0378,False,False
GENE_0379,False,False
GENE_0380,False,False
GENE_0381,False,False
GENE_0382,False,False
GENE_0383,False,False
GENE_0384,False,False
GENE_0385,False,False
GENE_0386,False,False
GENE_0387,False,False
GENE_0388,False,False
GENE_0389,False,False
GENE_0390,False,False
GENE_0391,False,False
GENE_0392,False,False
GENE_0393,False,False
GENE_0394,False,False
GENE_0395,False,False
GENE_0396,False,False
GENE_0397,False,False
GENE_0398,False,False
GENE_0399,False,False
GENE_0400,False,False
GENE_0401,False,False
GENE_0402,False,False
GENE_0403,False,False
GENE_0404,False,False
GENE_0405,False,False
GENE_0406,False,False
GENE_0407,False,False
GENE_0408,False,False
GENE_0409,False,False
GENE_0410,False,False
GENE_0411,False,False
GENE_0412,False,False
GENE_0413,False,False
GENE_0414,False,False
GENE_0415,False,False
GENE_0416,False,False
GENE_0417,False,False
GENE_0418,False,False
GENE_0419,False,False
GENE_0420,False,False
GENE_0421,False,False
GENE_0422,False,False
GENE_0423,False,False
GENE_0424,False,False
GENE_0425,False,False
GENE_0426,False,False
GENE_0427,False,False
GENE_0428,False,False
GENE_0429,False,False
GENE_0430,False,False
GENE_0431,False,False
GENE_0432,False,False
GENE_0433,False,False
GENE_0434,False,False
GENE_0435,False,False
GENE_0436,False,False
GENE_0437,False,False
GENE_0438,False,False
GENE_0439,False,False
GENE_0440,False,False
GENE_0441,False,False
GENE_0442,False,False
GENE_0443,False,False
GENE_0444,False,False
GENE_0445,False,False
GENE_0446,False,False
GENE_0447,False,False
GENE_0448,False,False
GENE_0449,False,False
GENE_0450,False,False
GENE_0451,False,False
GENE_0452,False,False
GENE_0453,False,False
GENE_0454,False,False
GENE_0455,False,False
GENE_0456,False,False
GENE_0457,False,False
GENE_0458,False,False
GENE_0459,False,False
GENE_0460,False,False
GENE_0461,False,False
GENE_0462,False,False
GENE_0463,False,False
GENE_0464,False,False
GENE_0465,False,False
GENE_0466,False,False
GENE_0467,False,False
GENE_0468,False,False
GENE_0469,False,False
GENE_0470,False,False
GENE_0471,False,False
GENE_0472,False,False
GENE_0473,False,False
GENE_0474,False,False
GENE_0475,False,False
GENE_0476,False,False
GENE_0477,False,False
GENE_0478,False,False
GENE_0479,False,False
GENE_0480,False,False
GENE_0481,False,False
GENE_0482,False,False
GENE_0483,False,False
GENE_0484,False,False
GENE_0485,False,False
GENE_0486,False,False
GENE_0487,False,False
GENE_0488,False,False
GENE_0489,False,False
GENE_0490,False,False
GENE_0491,False,False
GENE_0492,False,False
GENE_0493,False,False
GENE_0494,False,False
GENE_0495,False,False
GENE_0496,False,False
GENE_0497,False,False
GENE_0498,False,False
GENE_0499,False,False
GENE_0500,False,False
GENE_0501,False,False
GENE_0502,False,False
GENE_0503,False,False
GENE_0504,False,False
GENE_0505,False,False
GENE_0506,False,False
GENE_0507,False,False
GENE_0508,False,False
GENE_0509,False,False
GENE_0510,False,False
GENE_0511,False,False
GENE_0512,False,False
GENE_0513,False,False
GENE_0514,False,False
GENE_0515,False,False
GENE_0516,False,False
GENE_0517,False,False
GENE_0518,False,False
GENE_0519,False,False
GENE_0520,False,False
GENE_0521,False,False
GENE_0522,False,False
GENE_0523,False,False
GENE_0524,False,False
GENE_0525,False,False
GENE_0526,False,False
GENE_0527,False,False
GENE_0528,False,False
GENE_0529,False,False
GENE_0530,False,False
GENE_0531,False,False
GENE_0532,False,False
GENE_0533,False,False
GENE_0534,False,False
GENE_0535,False,False
GENE_0536,False,False
GENE_0537,False,False
GENE_0538,False,False
GENE_0539,False,False
GENE_0540,False,False
GENE_0541,False,False
GENE_0542,False,False
GENE_0543,False,False
GENE_0544,False,False
GENE_0545,False,False
GENE_0546,False,False
GENE_0547,False,False
GENE_0548,False,False
GENE_0549,False,False
GENE_0550,False,False
GENE_0551,False,False
GENE_0552,False,False
GENE_0553,False,False
GENE_0554,False,False
GENE_0555,False,False
GENE_0556,False,False
GENE_0557,False,False
GENE_0558,False,False
GENE_0559,False,False
GENE_0560,False,False
GENE_0561,False,False
GENE_0562,False,False
GENE_0563,False,False
GENE_0564,False,False
GENE_0565,False,False
GENE_0566,False,False
GENE_0567,False,False
GENE_0568,False,False
GENE_0569,False,False
GENE_0570,False,False
GENE_0571,False,False
GENE_0572,False,False
GENE_0573,False,False
GENE_0574,False,False
GENE_0575,False,False
GENE_0576,False,False
GENE_0577,False,False
GENE_0578,False,False
GENE_0579,False,False
GENE_0580,False,False
GENE_0581,False,False
GENE_0582,False,False
GENE_0583,False,False
GENE_0584,False,False
GENE_0585,False,False
GENE_0586,False,False
GENE_0587,False,False
GENE_0588,False,False
GENE_0589,False,False
GENE_0590,False,False
GENE_0591,False,False
GENE_0592,False,False
GENE_0593,False,False
GENE_0594,False,False
GENE_0595,False,False
GENE_0596,False,False
GENE_0597,False,False
GENE_0598,False,False
GENE_0599,False,False
GENE_0600,False,False
GENE_0601,False,False
GENE_0602,False,False
GENE_0603,False,False
GENE_0604,False,False
GENE_0605,False,False
GENE_0606,False,False
GENE_0607,False,False
GENE_0608,False,False
GENE_0609,False,False
GENE_0610,False,False
GENE_0611,False,False
GENE_0612,False,False
GENE_0613,False,False
GENE_0614,False,False
GENE_0615,False,False
GENE_0616,False,False
GENE_0617,False,False
GENE_0618,False,False
GENE_0619,False,False
GENE_0620,False,False
GENE_0621,False,False
GENE_0622,False,False
GENE_0623,False,False
GENE_0624,False,False
GENE_0625,False,False
GENE_0626,False,False
GENE_0627,False,False
GENE_0628,False,False
GENE_0629,False,False
GENE_0630,False,False
GENE_0631,False,False
GENE_0632,False,False
GENE_0633,False,False
GENE_0634,False,False
GENE_0635,False,False
GENE_0636,False,False
GENE_0637,False,False
GENE_0638,False,False
GENE_0639,False,False
GENE_0640,False,False
GENE_0641,False,False
GENE_0642,False,False
GENE_0643,False,False
GENE_0644,False,False
GENE_0645,False,False
GENE_0646,False,False
GENE_0647,False,False
GENE_0648,False,False
GENE_0649,False,False
GENE_0650,False,False
GENE_0651,False,False
GENE_0652,False,False
GENE_0653,False,False
GENE_0654,False,False
GENE_0655,False,False
GENE_0656,False,False
GENE_0657,False,False
GENE_0658,False,False
GENE_0659,False,False
GENE_0660,False,False
GENE_0661,False,False
GENE_0662,False,False
GENE_0663,False,False
GENE_0664,False,False
GENE_0665,False,False
GENE_0666,False,False
GENE_0667,False,False
GENE_0668,False,False
GENE_0669,False,False
GENE_0670,False,False
GENE_0671,False,False
GENE_0672,False,False
GENE_0673,False,False
GENE_0674,False,False
GENE_0675,False,False
GENE_0676,False,False
GENE_0677,False,False
GENE_0678,False,False
GENE_0679,False,False
GENE_0680,False,False
GENE_0681,False,False
GENE_0682,False,False
GENE_0683,False,False
GENE_0684,False,False
GENE_0685,False,False
GENE_0686,False,False
GENE_0687,False,False
GENE_0688,False,False
GENE_0689,False,False
GENE_0690,False,False
GENE_0691,False,False
GENE_0692,False,False
GENE_0693,False,False
GENE_0694,False,False
GENE_0695,False,False
GENE_0696,False,False
GENE_0697,False,False
GENE_0698,False,False
GENE_0699,False,False
GENE_0700,False,False
GENE_0701,False,False
GENE_0702,False,False
GENE_0703,False,False
GENE_0704,False,False
GENE_0705,False,False
GENE_0706,False,False
GENE_0707,False,False
GENE_0708,False,False
GENE_0709,False,False
GENE_0710,False,False
GENE_0711,False,False
GENE_0712,False,False
GENE_0713,False,False
GENE_0714,False,False
GENE_0715,False,False
GENE_0716,False,False
GENE_0717,False,False
GENE_0718,False,False
GENE_0719,False,False
GENE_0720,False,False
GENE_0721,False,False
GENE_0722,False,False
GENE_0723,False,False
GENE_0724,False,False
GENE_0725,False,False
GENE_0726,False,False
GENE_0727,False,False
GENE_0728,False,False
GENE_0729,False,False
GENE_0730,False,False
GENE_0731,False,False
GENE_0732,False,False
GENE_0733,False,False
GENE_0734,False,False
GENE_0735,False,False
GENE_0736,False,False
GENE_0737,False,False
GENE_0738,False,False
GENE_0739,False,False
GENE_0740,False,False
GENE_0741,False,False
GENE_0742,False,False
GENE_0743,False,False
GENE_0744,False,False
GENE_0745,False,False
GENE_0746,False,False
GENE_0747,False,False
GENE_0748,False,False
GENE_0749,False,False
GENE_0750,False,False
GENE_0751,False,False
GENE_0752,False,False
GENE_0753,False,False
GENE_0754,False,False
GENE_0755,False,False
GENE_0756,False,False
GENE_0757,False,False
GENE_0758,False,False
GENE_0759,False,False
GENE_0760,False,False
GENE_0761,False,False
GENE_0762,False,False
GENE_0763,False,False
GENE_0764,False,False
GENE_0765,False,False
GENE_0766,False,False
GENE_0767,False,False
GENE_0768,False,False
GENE_0769,False,False
GENE_0770,False,False
GENE_0771,False,False
GENE_0772,False,False
GENE_0773,False,False
GENE_0774,False,False
GENE_0775,False,False
GENE_0776,False,False
GENE_0777,False,False
GENE_0778,False,False
GENE_0779,False,False
GENE_0780,False,False
GENE_0781,False,False
GENE_0782,False,False
GENE_0783,False,False
GENE_0784,False,False
GENE_0785,False,False
GENE_0786,False,False
GENE_0787,False,False
GENE_0788,False,False
GENE_0789,False,False
GENE_0790,False,False
GENE_0791,False,False
GENE_0792,False,False
GENE_0793,False,False
GENE_0794,False,False
GENE_0795,False,False
GENE_0796,False,False
GENE_0797,False,False
GENE_0798,False,False
GENE_0799,False,False
GENE_0800,False,False
GENE_0801,False,False
GENE_0802,False,False
GENE_0803,False,False
GENE_0804,False,False
GENE_0805,False,False
GENE_0806,False,False
GENE_0807,False,False
GENE_0808,False,False
GENE_0809,False,False
GENE_0810,False,False
GENE_0811,False,False
GENE_0812,False,False
GENE_0813,False,False
GENE_0814,False,False
GENE_0815,False,False
GENE_0816,False,False
GENE_0817,False,False
GENE_0818,False,False
GENE_0819,False,False
GENE_0820,False,False
GENE_0821,False,False
GENE_0822,False,False
GENE_0823,False,False
GENE_0824,False,False
GENE_0825,False,False
GENE_0826,False,False
GENE_0827,False,False
GENE_0828,False,False
GENE_0829,False,False
GENE_0830,False,False
GENE_0831,False,False
GENE_0832,False,False
GENE_0833,False,False
GENE_0834,False,False
GENE_0835,False,False
GENE_0836,False,False
GENE_0837,False,False
GENE_0838,False,False
GENE_0839,False,False
GENE_0840,False,False
GENE_0841,False,False
GENE_0842,False,False
GENE_0843,False,False
GENE_0844,False,False
GENE_0845,False,False
GENE_0846,False,False
GENE_0847,False,False
GENE_0848,False,False
GENE_0849,False,False
GENE_0850,False,False
GENE_0851,False,False
GENE_0852,False,False
GENE_0853,False,False
GENE_0854,False,False
GENE_0855,False,False
GENE_0856,False,False
GENE_0857,False,False
GENE_0858,False,False
GENE_0859,False,False
GENE_0860,False,False
GENE_0861,False,False
GENE_0862,False,False
GENE_0863,False,False
GENE_0864,False,False
GENE_0865,False,False
GENE_0866,False,False
GENE_0867,False,False
GENE_0868,False,False
GENE_0869,False,False
GENE_0870,False,False
GENE_0871,False,False
GENE_0872,False,False
GENE_0873,False,False
GENE_0874,False,False
GENE_0875,False,False
GENE_0876,False,False
GENE_0877,False,False
GENE_0878,False,False
GENE_0879,False,False
GENE_0880,False,False
GENE_0881,False,False
GENE_0882,False,False
GENE_0883,False,False
GENE_0884,False,False
GENE_0885,False,False
GENE_0886,False,False
GENE_0887,False,False
GENE_0888,False,False
GENE_0889,False,False
GENE_0890,False,False
GENE_0891,False,False
GENE_0892,False,False
GENE_0893,False,False
GENE_0894,False,False
GENE_0895,False,False
GENE_0896,False,False
GENE_0897,False,False
GENE_0898,False,False
GENE_0899,False,False
GENE_0900,False,False
GENE_0901,False,False
GENE_0902,False,False
GENE_0903,False,False
GENE_0904,False,False
GENE_0905,False,False
GENE_0906,False,False
GENE_0907,False,False
GENE_0908,False,False
GENE_0909,False,False
GENE_0910,False,False
GENE_0911,False,False
GENE_0912,False,False
GENE_0913,False,False
GENE_0914,False,False
GENE_0915,False,False
GENE_0916,False,False
GENE_0917,False,False
GENE_0918,False,False
GENE_0919,False,False
GENE_0920,False,False
GENE_0921,False,False
GENE_0922,False,False
GENE_0923,False,False
GENE_0924,False,False
GENE_0925,False,False
GENE_0926,False,False
GENE_0927,False,False
GENE_0928,False,False
GENE_0929,False,False
GENE_0930,False,False
GENE_0931,False,False
GENE_0932,False,False
GENE_0933,False,False
GENE_0934,False,False
GENE_0935,False,False
GENE_0936,False,False
GENE_0937,False,False
GENE_0938,False,False
GENE_0939,False,False
GENE_0940,False,False
GENE_0941,False,False
GENE_0942,False,False
GENE_0943,False,False
GENE_0944,False,False
GENE_0945,False,False
GENE_0946,False,False
GENE_0947,False,False
GENE_0948,False,False
GENE_0949,False,False
GENE_0950,False,False
GENE_0951,False,False
GENE_0952,False,False
GENE_0953,False,False
GENE_0954,False,False
GENE_0955,False,False
GENE_0956,False,False
GENE_0957,False,False
GENE_0958,False,False
GENE_0959,False,False
GENE_0960,False,False
GENE_0961,False,False
GENE_0962,False,False
GENE_0963,False,False
GENE_0964,False,False
GENE_0965,False,False
GENE_0966,False,False
GENE_0967,False,False
GENE_0968,False,False
GENE_0969,False,False
GENE_0970,False,False
GENE_0971,False,False
GENE_0972,False,False
GENE_0973,False,False
GENE_0974,False,False
GENE_0975,False,False
GENE_0976,False,False
GENE_0977,False,False
GENE_0978,False,False
GENE_0979,False,False
GENE_0980,False,False
GENE_0981,False,False
GENE_0982,False,False
GENE_0983,False,False
GENE_0984,False,False
GENE_0985,False,False
GENE_0986,False,False
GENE_0987,False,False
GENE_0988,False,False
GENE_0989,False,False
GENE_0990,False,False
GENE_0991,False,False
GENE_0992,False,False
GENE_0993,False,False
GENE_0994,False,False
GENE_0995,False,False
GENE_0996,False,False
GENE_0997,False,False
GENE_0998,False,False
GENE_0999,False,False
GENE_1000,False,False
GENE_1001,False,False
GENE_1002,False,False
GENE_1003,False,False
GENE_1004,False,False
GENE_1005,False,False
GENE_1006,False,False
GENE_1007,False,False
GENE_1008,False,False
GENE_1009,False,False
GENE_1010,False,False
GENE_1011,False,False
GENE_1012,False,False
GENE_1013,False,False
GENE_1014,False,False
GENE_1015,False,False
GENE_1016,False,False
GENE_1017,False,False
GENE_1018,False,False
GENE_1019,False,False
GENE_1020,False,False
GENE_1021,False,False
GENE_1022,False,False
GENE_1023,False,False
GENE_1024,False,False
GENE_1025,False,False
GENE_1026,False,False
GENE_1027,False,False
GENE_1028,False,False
GENE_1029,False,False
GENE_1030,False,False
GENE_1031,False,False
GENE_1032,False,False
GENE_1033,False,False
GENE_1034,False,False
GENE_1035,False,False
GENE_1036,False,False
GENE_1037,False,False
GENE_1038,False,False
GENE_1039,False,False
GENE_1040,False,False
GENE_1041,False,False
GENE_1042,False,False
GENE_1043,False,False
GENE_1044,False,False
GENE_1045,False,False
GENE_1046,False,False
GENE_1047,False,False
GENE_1048,False,False
GENE_1049,False,False
GENE_1050,False,False
GENE_1051,False,False
GENE_1052,False,False
GENE_1053,False,False
GENE_1054,False,False
GENE_1055,False,False
GENE_1056,False,False
GENE_1057,False,False
GENE_1058,False,False
GENE_1059,False,False
GENE_1060,False,False
GENE_1061,False,False
GENE_1062,False,False
GENE_1063,False,False
GENE_1064,False,False
GENE_1065,False,False
GENE_1066,False,False
GENE_1067,False,False
GENE_1068,False,False
GENE_1069,False,False
GENE_1070,False,False
GENE_1071,False,False
GENE_1072,False,False
GENE_1073,False,False
GENE_1074,False,False
GENE_1075,False,False
GENE_1076,False,False
GENE_1077,False,False
GENE_1078,False,False
GENE_1079,False,False
GENE_1080,False,False
GENE_1081,False,False
GENE_1082,False,False
GENE_1083,False,False
GENE_1084,False,False
GENE_1085,False,False
GENE_1086,False,False
GENE_1087,False,False
GENE_1088,False,False
GENE_1089,False,False
GENE_1090,False,False
GENE_1091,False,False
GENE_1092,False,False
GENE_1093,False,False
GENE_1094,False,False
GENE_1095,False,False
GENE_1096,False,False
GENE_1097,False,False
GENE_1098,False,False
GENE_1099,False,False
GENE_1100,False,False
GENE_1101,False,False
GENE_1102,False,False
GENE_1103,False,False
GENE_1104,False,False
GENE_1105,False,False
GENE_1106,False,False
GENE_1107,False,False
GENE_1108,False,False
GENE_1109,False,False
GENE_1110,False,False
GENE_1111,False,False
GENE_1112,False,False
GENE_1113,False,False
GENE_1114,False,False
GENE_1115,False,False
GENE_1116,False,False
GENE_1117,False,False
GENE_1118,False,False
GENE_1119,False,False
GENE_1120,False,False
GENE_1121,False,False
GENE_1122,False,False
GENE_1123,False,False
GENE_1124,False,False
GENE_1125,False,False
GENE_1126,False,False
GENE_1127,False,False
GENE_1128,False,False
GENE_1129,False,False
GENE_1130,False,False
GENE_1131,False,False
GENE_1132,False,False
GENE_1133,False,False
GENE_1134,False,False
GENE_1135,False,False
GENE_1136,False,False
GENE_1137,False,False
GENE_1138,False,False
GENE_1139,False,False
GENE_1140,False,False
GENE_1141,False,False
GENE_1142,False,False
GENE_1143,False,False
GENE_1144,False,False
GENE_1145,False,False
GENE_1146,False,False
GENE_1147,False,False
GENE_1148,False,False
GENE_1149,False,False
GENE_1150,False,False
GENE_1151,False,False
GENE_1152,False,False
GENE_1153,False,False
GENE_1154,False,False
GENE_1155,False,False
GENE_1156,False,False
GENE_1157,False,False
GENE_1158,False,False
GENE_1159,False,False
GENE_1160,False,False
GENE_1161,False,False
GENE_1162,False,False
GENE_1163,False,False
GENE_1164,False,False
GENE_1165,False,False
GENE_1166,False,False
GENE_1167,False,False
GENE_1168,False,False
GENE_1169,False,False
GENE_1170,False,False
GENE_1171,False,False
GENE_1172,False,False
GENE_1173,False,False
GENE_1174,False,False
GENE_1175,False,False
GENE_1176,False,False
GENE_1177,False,False
GENE_1178,False,False
GENE_1179,False,False
GENE_1180,False,False
GENE_1181,False,False
GENE_1182,False,False
GENE_1183,False,False
GENE_1184,False,False
GENE_1185,False,False
GENE_1186,False,False
GENE_1187,False,False
GENE_1188,False,False
GENE_1189,False,False
GENE_1190,False,False
GENE_1191,False,False
GENE_1192,False,False
GENE_1193,False,False
GENE_1194,False,False
GENE_1195,False,False
GENE_1196,False,False
GENE_1197,False,False
GENE_1198,False,False
GENE_1199,False,False
GENE_1200,False,False
GENE_1201,False,False
GENE_1202,False,False
GENE_1203,False,False
GENE_1204,False,False
GENE_1205,False,False
GENE_1206,False,False
GENE_1207,False,False
GENE_1208,False,False
GENE_1209,False,False
GENE_1210,False,False
GENE_1211,False,False
GENE_1212,False,False
GENE_1213,False,False
GENE_1214,False,False
GENE_1215,False,False
GENE_1216,False,False
GENE_1217,False,False
GENE_1218,False,False
GENE_1219,False,False
GENE_1220,False,False
GENE_1221,False,False
GENE_1222,False,False
GENE_1223,False,False
GENE_1224,False,False
GENE_1225,False,False
GENE_1226,False,False
GENE_1227,False,False
