,cell_type,batch,condition,donor,n_counts
cell_00044,T_cell,batch_1,healthy,donor_3,1334
cell_00045,T_cell,batch_2,disease,donor_4,1215
cell_00046,T_cell,batch_0,healthy,donor_3,1312
cell_00047,T_cell,batch_1,healthy,donor_4,1091
cell_00048,T_cell,batch_1,healthy,donor_0,1381
cell_00049,T_cell,batch_1,disease,donor_5,1379
cell_00050,T_cell,batch_1,healthy,donor_2,1333
cell_00051,T_cell,batch_2,healthy,donor_0,1353
cell_00052,T_cell,batch_0,disease,donor_2,1437
cell_00053,T_cell,batch_0,healthy,donor_2,1169
cell_00054,T_cell,batch_0,disease,donor_2,1335
cell_00055,T_cell,batch_2,healthy,donor_2,1374
cell_00056,T_cell,batch_2,healthy,donor_1,1157
cell_00057,T_cell,batch_0,healthy,donor_3,1257
cell_00058,T_cell,batch_0,disease,donor_3,1431
cell_00059,T_cell,batch_2,healthy,donor_4,1446
cell_00060,T_cell,batch_0,healthy,donor_2,1249
cell_00061,T_cell,batch_2,healthy,donor_3,1277
cell_00062,T_cell,batch_2,healthy,donor_0,1260
cell_00063,T_cell,batch_1,disease,donor_1,1353
cell_00064,T_cell,batch_0,disease,donor_1,1248
cell_00065,T_cell,batch_0,disease,donor_1,1438
cell_00066,T_cell,batch_2,disease,donor_5,1215
cell_00067,T_cell,batch_1,disease,donor_1,1351
cell_00068,T_cell,batch_1,disease,donor_1,1203
cell_00069,T_cell,batch_2,disease,donor_3,1375
cell_00070,T_cell,batch_1,healthy,donor_3,1333
cell_00071,T_cell,batch_0,healthy,donor_0,1367
cell_00072,T_cell,batch_0,healthy,donor_3,1184
cell_00073,T_cell,batch_1,healthy,donor_0,1396
cell_00074,T_cell,batch_2,healthy,donor_4,1191
cell_00075,T_cell,batch_2,healthy,donor_4,1166
cell_00076,T_cell,batch_1,healthy,donor_0,1304
cell_00077,T_cell,batch_0,healthy,donor_1,1262
cell_00078,T_cell,batch_2,healthy,donor_1,1364
cell_00079,T_cell,batch_0,healthy,donor_2,1280
cell_00080,T_cell,batch_1,healthy,donor_0,1416
cell_00081,T_cell,batch_1,disease,donor_5,1337
cell_00082,T_cell,batch_2,healthy,donor_0,1502
cell_00083,T_cell,batch_2,healthy,donor_4,1236
cell_00084,T_cell,batch_1,healthy,donor_1,1201
cell_00085,T_cell,batch_2,healthy,donor_0,1293
cell_00086,T_cell,batch_1,healthy,donor_4,1266
cell_00087,T_cell,batch_1,healthy,donor_1,1276
cell_00088,T_cell,batch_1,healthy,donor_0,1259
cell_00089,T_cell,batch_0,healthy,donor_2,1224
cell_00090,T_cell,batch_0,healthy,donor_0,1397
cell_00091,T_cell,batch_0,disease,donor_0,1390
cell_00092,T_cell,batch_2,healthy,donor_2,1338
cell_00093,T_cell,batch_0,disease,donor_0,1318
cell_00094,T_cell,batch_2,healthy,donor_3,1325
cell_00095,T_cell,batch_0,healthy,donor_5,1235
cell_00096,T_cell,batch_1,healthy,donor_1,1343
cell_00097,T_cell,batch_0,healthy,donor_0,1341
cell_00098,T_cell,batch_0,disease,donor_5,1327
cell_00099,T_cell,batch_2,healthy,donor_1,1352
cell_00100,T_cell,batch_2,healthy,donor_2,1432
cell_00101,T_cell,batch_2,healthy,donor_0,1352
cell_00102,T_cell,batch_0,healthy,donor_5,1495
cell_00103,T_cell,batch_0,healthy,donor_5,1300
cell_00104,T_cell,batch_1,disease,donor_5,1229
cell_00105,T_cell,batch_1,healthy,donor_0,1341
cell_00106,T_cell,batch_0,disease,donor_1,1247
cell_00107,T_cell,batch_2,disease,donor_4,1278
cell_00108,T_cell,batch_2,disease,donor_2,1314
cell_00109,T_cell,batch_2,disease,donor_3,1386
cell_00110,T_cell,batch_0,disease,donor_5,1358
cell_00111,T_cell,batch_2,healthy,donor_5,1375
cell_00112,T_cell,batch_1,healthy,donor_1,1589
cell_00113,T_cell,batch_1,disease,donor_5,1383
cell_00114,T_cell,batch_2,healthy,donor_2,1325
cell_00115,T_cell,batch_0,healthy,donor_2,1321
cell_00116,T_cell,batch_1,healthy,donor_4,1246
cell_00117,T_cell,batch_1,healthy,donor_4,1315
cell_00118,T_cell,batch_0,disease,donor_5,1176
cell_00119,T_cell,batch_2,healthy,donor_2,1197
cell_00120,T_cell,batch_0,disease,donor_3,1289
cell_00121,T_cell,batch_1,healthy,donor_2,1328
cell_00122,T_cell,batch_2,healthy,donor_4,1142
cell_00123,T_cell,batch_0,healthy,donor_4,1347
cell_00124,T_cell,batch_1,disease,donor_5,1319
cell_00125,T_cell,batch_1,healthy,donor_4,1414
cell_00126,T_cell,batch_1,healthy,donor_4,1526
cell_00127,T_cell,batch_0,healthy,donor_4,1285
cell_00128,T_cell,batch_2,healthy,donor_5,1187
cell_00129,T_cell,batch_1,disease,donor_2,1450
cell_00130,T_cell,batch_0,disease,donor_4,1398
cell_00131,T_cell,batch_1,healthy,donor_5,1265
cell_00132,T_cell,batch_1,disease,donor_5,1198
cell_00133,T_cell,batch_1,disease,donor_5,1375
cell_00134,T_cell,batch_1,healthy,donor_1,1349
cell_00135,T_cell,batch_2,healthy,donor_1,1201
cell_00136,T_cell,batch_0,disease,donor_3,1229
cell_00137,T_cell,batch_0,healthy,donor_4,1246
cell_00138,T_cell,batch_2,disease,donor_3,1201
cell_00139,T_cell,batch_1,disease,donor_5,1326
cell_00140,T_cell,batch_1,healthy,donor_4,1384
cell_00141,T_cell,batch_1,healthy,donor_1,1423
cell_00142,T_cell,batch_2,disease,donor_0,1158
cell_00143,T_cell,batch_0,healthy,donor_0,1380
cell_00144,T_cell,batch_0,healthy,donor_1,1181
cell_00145,T_cell,batch_0,disease,donor_5,1307
cell_00146,T_cell,batch_2,disease,donor_0,1114
cell_00147,T_cell,batch_1,healthy,donor_4,1461
cell_00148,T_cell,batch_2,disease,donor_4,1279
cell_00149,T_cell,batch_0,healthy,donor_0,1215
cell_00150,T_cell,batch_1,disease,donor_3,1261
cell_00151,T_cell,batch_2,healthy,donor_3,1250
cell_00152,T_cell,batch_1,disease,donor_3,1280
cell_00153,T_cell,batch_1,disease,donor_0,1371
cell_00154,T_cell,batch_0,healthy,donor_5,1252
cell_00155,T_cell,batch_0,healthy,donor_5,1391
cell_00156,T_cell,batch_0,disease,donor_3,1252
cell_00157,T_cell,batch_2,disease,donor_2,1363
cell_00158,T_cell,batch_1,healthy,donor_4,1253
cell_00159,T_cell,batch_1,disease,donor_5,1347
cell_00160,T_cell,batch_2,healthy,donor_5,1345
cell_00161,T_cell,batch_2,healthy,donor_5,1381
cell_00162,T_cell,batch_1,disease,donor_2,1301
cell_00163,T_cell,batch_0,healthy,donor_1,1083
cell_00164,T_cell,batch_2,healthy,donor_1,1231
cell_00165,T_cell,batch_1,healthy,donor_5,1405
cell_00166,T_cell,batch_2,healthy,donor_0,1336
cell_00167,T_cell,batch_0,disease,donor_2,1311
cell_00168,T_cell,batch_2,healthy,donor_5,1419
cell_00169,T_cell,batch_0,healthy,donor_3,1237
cell_00170,T_cell,batch_1,healthy,donor_3,1498
cell_00171,T_cell,batch_2,disease,donor_3,1264
cell_00172,T_cell,batch_1,healthy,donor_1,1375
cell_00173,T_cell,batch_0,disease,donor_4,1211
cell_00174,T_cell,batch_0,healthy,donor_5,1466
cell_00175,T_cell,batch_2,disease,donor_2,1250
cell_00176,T_cell,batch_1,disease,donor_2,1252
cell_00177,T_cell,batch_2,healthy,donor_2,1398
cell_00178,T_cell,batch_2,healthy,donor_3,1446
cell_00179,T_cell,batch_2,disease,donor_5,1582
cell_00180,T_cell,batch_0,healthy,donor_3,1363
cell_00181,T_cell,batch_0,healthy,donor_3,1272
cell_00182,T_cell,batch_0,disease,donor_5,1322
cell_00183,T_cell,batch_1,disease,donor_4,1311
cell_00184,T_cell,batch_0,healthy,donor_2,1192
cell_00185,T_cell,batch_1,healthy,donor_3,1294
cell_00186,T_cell,batch_1,healthy,donor_3,1536
cell_00187,T_cell,batch_0,disease,donor_1,1504
cell_00188,T_cell,batch_2,disease,donor_2,1399
cell_00189,T_cell,batch_1,healthy,donor_4,1258
cell_00190,T_cell,batch_1,disease,donor_2,1267
cell_00191,T_cell,batch_0,healthy,donor_0,1273
cell_00192,T_cell,batch_2,healthy,donor_3,1339
cell_00193,T_cell,batch_2,healthy,donor_4,1311
cell_00194,T_cell,batch_0,healthy,donor_0,1433
cell_00195,T_cell,batch_0,healthy,donor_5,1385
cell_00196,T_cell,batch_2,healthy,donor_5,1269
cell_00197,T_cell,batch_1,healthy,donor_5,1168
cell_00198,T_cell,batch_2,healthy,donor_5,1239
cell_00199,T_cell,batch_2,healthy,donor_5,1246
cell_00200,T_cell,batch_1,healthy,donor_1,1357
cell_00201,T_cell,batch_1,healthy,donor_3,1254
cell_00202,T_cell,batch_2,healthy,donor_4,1538
cell_00203,T_cell,batch_0,healthy,donor_1,1300
cell_00204,T_cell,batch_1,healthy,donor_4,1288
cell_00205,T_cell,batch_0,disease,donor_4,1258
cell_00206,T_cell,batch_1,healthy,donor_2,1179
cell_00207,T_cell,batch_0,healthy,donor_0,1314
cell_00208,T_cell,batch_0,healthy,donor_3,1389
cell_00209,T_cell,batch_1,disease,donor_5,1289
cell_00210,T_cell,batch_1,healthy,donor_0,1298
cell_00211,T_cell,batch_2,healthy,donor_4,1198
cell_00212,T_cell,batch_0,healthy,donor_1,1264
cell_00213,T_cell,batch_2,disease,donor_2,1191
cell_00214,T_cell,batch_1,disease,donor_4,1393
cell_00215,T_cell,batch_2,healthy,donor_5,1281
cell_00216,T_cell,batch_2,disease,donor_2,1165
cell_00217,T_cell,batch_2,healthy,donor_4,1462
cell_00218,T_cell,batch_2,healthy,donor_3,1280
cell_00219,T_cell,batch_0,healthy,donor_3,1144
cell_00220,T_cell,batch_2,disease,donor_1,1424
cell_00221,T_cell,batch_1,healthy,donor_1,1329
cell_00222,T_cell,batch_2,healthy,donor_0,1310
cell_00223,T_cell,batch_1,healthy,donor_3,1141
cell_00224,T_cell,batch_2,healthy,donor_4,1300
cell_00225,T_cell,batch_1,healthy,donor_2,1167
cell_00226,T_cell,batch_0,healthy,donor_0,1368
cell_00227,T_cell,batch_1,disease,donor_0,1332
cell_00228,T_cell,batch_2,disease,donor_2,1617
cell_00229,T_cell,batch_2,disease,donor_4,1223
cell_00230,T_cell,batch_1,disease,donor_3,1248
cell_00231,T_cell,batch_1,healthy,donor_5,1369
cell_00232,T_cell,batch_2,healthy,donor_3,1150
cell_00233,T_cell,batch_1,disease,donor_0,1254
cell_00234,T_cell,batch_2,disease,donor_0,1159
cell_00235,T_cell,batch_0,healthy,donor_1,1425
cell_00236,T_cell,batch_1,healthy,donor_5,1262
cell_00237,T_cell,batch_0,healthy,donor_3,1131
cell_00238,T_cell,batch_0,disease,donor_5,1200
cell_00239,T_cell,batch_0,healthy,donor_2,1433
cell_00240,T_cell,batch_2,healthy,donor_3,1396
cell_00241,T_cell,batch_2,disease,donor_1,1384
cell_00242,T_cell,batch_1,disease,donor_5,1397
cell_00243,T_cell,batch_1,healthy,donor_1,1258
cell_00244,T_cell,batch_2,disease,donor_4,1507
cell_00245,T_cell,batch_1,healthy,donor_5,1270
cell_00246,T_cell,batch_1,healthy,donor_3,1407
cell_00247,T_cell,batch_0,healthy,donor_5,1205
cell_00248,T_cell,batch_0,disease,donor_5,1346
cell_00249,T_cell,batch_0,healthy,donor_1,1330
cell_00250,T_cell,batch_1,healthy,donor_1,1407
cell_00251,T_cell,batch_2,disease,donor_4,1428
cell_00252,T_cell,batch_0,healthy,donor_4,1271
cell_00253,T_cell,batch_1,healthy,donor_5,1201
cell_00254,T_cell,batch_0,disease,donor_2,1213
cell_00255,T_cell,batch_0,healthy,donor_1,1299
cell_00256,T_cell,batch_0,healthy,donor_1,1307
cell_00257,T_cell,batch_2,disease,donor_3,1556
cell_00258,T_cell,batch_2,healthy,donor_4,1292
cell_00259,T_cell,batch_2,disease,donor_3,1373
cell_00260,T_cell,batch_0,healthy,donor_5,1257
cell_00261,T_cell,batch_1,disease,donor_4,1394
cell_00262,T_cell,batch_1,disease,donor_5,1500
cell_00263,T_cell,batch_0,healthy,donor_3,1431
cell_00264,T_cell,batch_1,healthy,donor_0,1303
cell_00265,T_cell,batch_1,disease,donor_1,1452
cell_00266,T_cell,batch_1,disease,donor_5,1384
cell_00267,T_cell,batch_2,healthy,donor_3,1206
cell_00268,T_cell,batch_1,disease,donor_5,1347
cell_00269,T_cell,batch_0,healthy,donor_3,1249
cell_00270,T_cell,batch_2,healthy,donor_4,1364
cell_00271,T_cell,batch_2,healthy,donor_5,1186
cell_00272,T_cell,batch_2,disease,donor_5,1322
cell_00273,T_cell,batch_1,healthy,donor_0,1388
cell_00274,T_cell,batch_2,disease,donor_2,1365
cell_00275,T_cell,batch_0,healthy,donor_2,1241
cell_00276,T_cell,batch_2,disease,donor_4,1453
cell_00277,T_cell,batch_0,disease,donor_0,1306
cell_00278,T_cell,batch_2,disease,donor_5,1370
cell_00279,T_cell,batch_2,healthy,donor_0,1233
cell_00280,T_cell,batch_1,healthy,donor_0,1450
cell_00281,T_cell,batch_1,healthy,donor_5,1316
cell_00282,T_cell,batch_0,healthy,donor_3,1224
cell_00283,T_cell,batch_2,disease,donor_2,1232
cell_00284,T_cell,batch_1,healthy,donor_2,1400
cell_00285,T_cell,batch_1,healthy,donor_5,1263
cell_00286,T_cell,batch_0,healthy,donor_1,1204
cell_00287,T_cell,batch_2,healthy,donor_3,1246
cell_00288,T_cell,batch_2,healthy,donor_3,1129
cell_00289,T_cell,batch_0,healthy,donor_4,1285
cell_00290,T_cell,batch_0,healthy,donor_4,1421
cell_00291,T_cell,batch_1,healthy,donor_4,1357
cell_00292,T_cell,batch_2,disease,donor_1,1380
cell_00293,T_cell,batch_1,healthy,donor_4,1176
cell_00294,T_cell,batch_1,healthy,donor_0,1166
cell_00295,T_cell,batch_0,disease,donor_3,1375
cell_00296,T_cell,batch_2,disease,donor_5,1596
cell_00297,T_cell,batch_1,disease,donor_2,1401
cell_00298,T_cell,batch_2,healthy,donor_4,1381
cell_00299,T_cell,batch_1,healthy,donor_3,1134
cell_00300,T_cell,batch_0,healthy,donor_0,1243
cell_00301,T_cell,batch_0,healthy,donor_5,1367
cell_00302,T_cell,batch_0,disease,donor_5,1388
cell_00303,T_cell,batch_0,disease,donor_2,1414
cell_00304,T_cell,batch_1,disease,donor_4,1312
cell_00305,T_cell,batch_0,disease,donor_3,1314
cell_00306,T_cell,batch_1,disease,donor_1,1248
cell_00307,T_cell,batch_2,healthy,donor_0,1352
cell_00308,T_cell,batch_0,healthy,donor_3,1453
cell_00309,T_cell,batch_0,disease,donor_3,1445
cell_00310,T_cell,batch_0,disease,donor_5,1238
cell_00311,T_cell,batch_0,disease,donor_1,1387
cell_00312,T_cell,batch_1,disease,donor_5,1301
cell_00313,T_cell,batch_1,healthy,donor_5,1242
cell_00314,T_cell,batch_1,disease,donor_2,1170
cell_00315,T_cell,batch_1,healthy,donor_0,1335
cell_00316,T_cell,batch_1,disease,donor_4,1311
cell_00317,T_cell,batch_2,healthy,donor_5,1580
cell_00318,T_cell,batch_0,disease,donor_1,1340
cell_00319,T_cell,batch_2,healthy,donor_3,1234
cell_00320,T_cell,batch_1,disease,donor_0,1302
cell_00321,T_cell,batch_1,healthy,donor_1,1197
cell_00322,T_cell,batch_2,disease,donor_2,1663
cell_00323,T_cell,batch_2,healthy,donor_4,1459
cell_00324,T_cell,batch_2,healthy,donor_0,1247
cell_00325,T_cell,batch_2,disease,donor_0,1314
cell_00326,T_cell,batch_1,disease,donor_4,1475
cell_00327,T_cell,batch_0,disease,donor_2,1372
cell_00328,T_cell,batch_0,healthy,donor_2,1267
cell_00329,T_cell,batch_2,disease,donor_2,1493
cell_00330,T_cell,batch_0,healthy,donor_4,1175
cell_00331,T_cell,batch_0,healthy,donor_5,1204
cell_00332,T_cell,batch_2,healthy,donor_0,1313
cell_00333,T_cell,batch_0,healthy,donor_1,1428
cell_00334,T_cell,batch_0,healthy,donor_5,1360
cell_00335,T_cell,batch_2,healthy,donor_3,1276
cell_00336,T_cell,batch_2,healthy,donor_5,1344
cell_00337,T_cell,batch_2,healthy,donor_2,1349
cell_00338,T_cell,batch_1,disease,donor_1,1232
cell_00339,T_cell,batch_1,disease,donor_1,1502
cell_00340,T_cell,batch_0,disease,donor_0,1130
cell_00341,T_cell,batch_2,healthy,donor_4,1266
cell_00342,T_cell,batch_0,disease,donor_1,1186
cell_00343,T_cell,batch_1,disease,donor_3,1505
cell_00344,T_cell,batch_1,disease,donor_5,1279
cell_00345,T_cell,batch_0,healthy,donor_1,1289
cell_00346,T_cell,batch_1,healthy,donor_0,1413
cell_00347,T_cell,batch_2,healthy,donor_5,1579
cell_00348,T_cell,batch_0,disease,donor_4,1406
cell_00349,T_cell,batch_0,healthy,donor_4,1351
cell_00350,T_cell,batch_0,healthy,donor_1,1198
cell_00351,T_cell,batch_0,disease,donor_3,1195
cell_00352,T_cell,batch_0,healthy,donor_3,1282
cell_00353,T_cell,batch_1,healthy,donor_1,1347
cell_00354,T_cell,batch_2,disease,donor_4,1289
cell_00355,T_cell,batch_1,healthy,donor_4,1297
cell_00356,T_cell,batch_1,healthy,donor_0,1308
cell_00357,T_cell,batch_2,healthy,donor_5,1399
cell_00358,T_cell,batch_0,healthy,donor_0,1342
cell_00359,T_cell,batch_2,disease,donor_0,1405
cell_00360,T_cell,batch_0,healthy,donor_2,1191
cell_00361,T_cell,batch_1,disease,donor_3,1348
cell_00362,T_cell,batch_0,healthy,donor_0,1372
cell_00363,T_cell,batch_0,healthy,donor_1,1384
cell_00364,T_cell,batch_1,disease,donor_4,1287
cell_00365,T_cell,batch_2,healthy,donor_1,1324
cell_00366,T_cell,batch_2,healthy,donor_3,1190
cell_00367,T_cell,batch_1,healthy,donor_3,1203
cell_00368,T_cell,batch_0,healthy,donor_0,1240
cell_00369,T_cell,batch_0,disease,donor_4,1335
cell_00370,T_cell,batch_1,healthy,donor_1,1099
cell_00371,T_cell,batch_2,healthy,donor_0,1355
cell_00372,T_cell,batch_2,disease,donor_4,1290
cell_00373,T_cell,batch_2,healthy,donor_2,1288
cell_00374,T_cell,batch_1,healthy,donor_3,1334
cell_00375,T_cell,batch_0,healthy,donor_2,1294
cell_00376,T_cell,batch_0,healthy,donor_1,1340
cell_00377,T_cell,batch_0,disease,donor_0,1393
cell_00378,T_cell,batch_0,disease,donor_3,1400
cell_00379,T_cell,batch_0,healthy,donor_4,1514
cell_00380,T_cell,batch_0,healthy,donor_5,1211
cell_00381,T_cell,batch_0,disease,donor_0,1281
cell_00382,T_cell,batch_2,disease,donor_5,1209
cell_00383,T_cell,batch_2,healthy,donor_5,1186
cell_00384,T_cell,batch_1,healthy,donor_5,1291
cell_00385,T_cell,batch_0,healthy,donor_1,1235
cell_00386,T_cell,batch_1,disease,donor_5,1460
cell_00387,T_cell,batch_2,healthy,donor_5,1305
cell_00388,T_cell,batch_2,healthy,donor_3,1183
cell_00389,T_cell,batch_1,healthy,donor_3,1312
cell_00390,T_cell,batch_1,disease,donor_0,1244
cell_00391,T_cell,batch_0,healthy,donor_4,1409
cell_00392,T_cell,batch_2,disease,donor_3,1224
cell_00393,T_cell,batch_2,healthy,donor_2,1222
cell_00394,T_cell,batch_2,healthy,donor_5,1356
cell_00395,T_cell,batch_2,healthy,donor_0,1353
cell_00396,T_cell,batch_0,disease,donor_4,1264
cell_00397,T_cell,batch_2,disease,donor_5,1421
cell_00398,T_cell,batch_0,disease,donor_1,1293
cell_00399,T_cell,batch_0,healthy,donor_1,1395
cell_00400,T_cell,batch_2,disease,donor_4,1216
cell_00401,T_cell,batch_1,disease,donor_4,1474
cell_00402,T_cell,batch_0,disease,donor_5,1528
cell_00403,T_cell,batch_0,disease,donor_0,1066
cell_00404,T_cell,batch_1,healthy,donor_1,1205
cell_00405,T_cell,batch_2,disease,donor_3,1426
cell_00406,T_cell,batch_2,disease,donor_1,1337
cell_00407,T_cell,batch_1,disease,donor_4,1291
cell_00408,T_cell,batch_2,healthy,donor_1,1311
cell_00409,T_cell,batch_1,healthy,donor_4,1438
cell_00410,T_cell,batch_1,disease,donor_0,1443
cell_00411,T_cell,batch_0,healthy,donor_4,1176
cell_00412,T_cell,batch_0,disease,donor_2,1469
cell_00413,T_cell,batch_2,healthy,donor_1,1291
cell_00414,T_cell,batch_2,healthy,donor_1,1216
cell_00415,T_cell,batch_1,healthy,donor_4,1219
cell_00416,T_cell,batch_0,disease,donor_5,1304
cell_00417,T_cell,batch_0,disease,donor_5,1287
cell_00418,T_cell,batch_1,healthy,donor_4,1349
cell_00419,T_cell,batch_1,disease,donor_2,1342
cell_00420,T_cell,batch_0,healthy,donor_0,1242
cell_00421,T_cell,batch_2,disease,donor_5,1212
cell_00422,T_cell,batch_2,healthy,donor_1,1275
cell_00423,T_cell,batch_0,healthy,donor_0,1187
cell_00424,T_cell,batch_2,healthy,donor_1,1416
cell_00425,T_cell,batch_2,disease,donor_0,1149
cell_00426,T_cell,batch_1,disease,donor_2,1338
cell_00427,T_cell,batch_2,disease,donor_0,1243
cell_00428,T_cell,batch_0,disease,donor_1,1378
cell_00429,T_cell,batch_2,disease,donor_0,1390
cell_00430,T_cell,batch_0,healthy,donor_0,1411
cell_00431,T_cell,batch_2,disease,donor_5,1314
cell_00432,T_cell,batch_1,disease,donor_3,1523
cell_00433,T_cell,batch_2,healthy,donor_5,1184
cell_00434,T_cell,batch_0,disease,donor_0,1388
cell_00435,T_cell,batch_2,healthy,donor_5,1386
cell_00436,T_cell,batch_1,disease,donor_3,1316
cell_00437,T_cell,batch_2,healthy,donor_4,1338
cell_00438,T_cell,batch_0,healthy,donor_2,1340
cell_00439,T_cell,batch_2,disease,donor_3,1202
cell_00440,T_cell,batch_0,healthy,donor_2,1281
cell_00441,T_cell,batch_2,disease,donor_2,1352
cell_00442,T_cell,batch_2,healthy,donor_4,1175
cell_00443,T_cell,batch_0,disease,donor_4,1242
cell_00444,T_cell,batch_2,healthy,donor_5,1239
cell_00445,T_cell,batch_0,healthy,donor_0,1469
cell_00446,T_cell,batch_2,disease,donor_0,1272
cell_00447,T_cell,batch_2,healthy,donor_5,1180
cell_00448,T_cell,batch_0,disease,donor_0,1360
cell_00449,T_cell,batch_2,healthy,donor_2,1393
cell_00450,T_cell,batch_2,disease,donor_0,1293
cell_00451,T_cell,batch_1,healthy,donor_4,1359
cell_00452,T_cell,batch_1,healthy,donor_5,1191
cell_00453,T_cell,batch_0,healthy,donor_5,1410
cell_00454,T_cell,batch_1,healthy,donor_0,1401
cell_00455,T_cell,batch_2,disease,donor_5,1293
cell_00456,T_cell,batch_2,disease,donor_1,1351
cell_00457,T_cell,batch_1,disease,donor_4,1280
cell_00458,T_cell,batch_1,healthy,donor_5,1273
cell_00459,T_cell,batch_2,disease,donor_5,1255
cell_00460,T_cell,batch_0,healthy,donor_3,1377
cell_00461,T_cell,batch_0,healthy,donor_4,1371
cell_00462,T_cell,batch_1,disease,donor_5,1308
cell_00463,T_cell,batch_2,disease,donor_0,1294
cell_00464,T_cell,batch_2,disease,donor_1,1455
cell_00465,T_cell,batch_0,healthy,donor_2,1360
cell_00466,T_cell,batch_2,healthy,donor_2,1340
cell_00467,T_cell,batch_0,disease,donor_5,1273
cell_00468,T_cell,batch_1,healthy,donor_2,1407
cell_00469,T_cell,batch_2,disease,donor_1,1249
cell_00470,T_cell,batch_0,healthy,donor_2,1312
cell_00471,T_cell,batch_1,healthy,donor_3,1240
cell_00472,T_cell,batch_0,healthy,donor_1,1422
cell_00473,T_cell,batch_2,healthy,donor_4,1315
cell_00474,T_cell,batch_2,healthy,donor_4,1279
cell_00475,T_cell,batch_1,healthy,donor_2,1242
cell_00476,T_cell,batch_2,disease,donor_4,1465
cell_00477,T_cell,batch_2,disease,donor_0,1332
cell_00478,T_cell,batch_2,healthy,donor_1,1155
cell_00479,T_cell,batch_1,healthy,donor_5,1491
cell_00480,T_cell,batch_2,healthy,donor_3,1303
cell_00481,T_cell,batch_1,healthy,donor_2,1332
cell_00482,T_cell,batch_1,disease,donor_5,1133
cell_00483,T_cell,batch_2,healthy,donor_5,1189
cell_00484,T_cell,batch_0,healthy,donor_4,1286
cell_00485,T_cell,batch_0,disease,donor_2,1367
cell_00486,T_cell,batch_1,healthy,donor_3,1375
cell_00487,T_cell,batch_1,disease,donor_5,1424
cell_00488,T_cell,batch_1,healthy,donor_5,1365
cell_00489,T_cell,batch_1,disease,donor_5,1235
cell_00490,T_cell,batch_2,disease,donor_5,1275
cell_00491,T_cell,batch_1,healthy,donor_5,1307
cell_00492,T_cell,batch_1,healthy,donor_4,1455
cell_00493,T_cell,batch_1,disease,donor_0,1377
cell_00494,T_cell,batch_0,healthy,donor_2,1251
cell_00495,T_cell,batch_1,disease,donor_3,1356
cell_00496,T_cell,batch_0,disease,donor_0,1343
cell_00497,T_cell,batch_0,healthy,donor_2,1407
cell_00498,T_cell,batch_2,healthy,donor_0,1296
cell_00499,T_cell,batch_2,healthy,donor_4,1334
cell_00500,T_cell,batch_1,healthy,donor_1,1298
cell_00501,T_cell,batch_1,healthy,donor_3,1419
cell_00502,T_cell,batch_2,healthy,donor_0,1328
cell_00503,T_cell,batch_1,healthy,donor_3,1339
cell_00504,T_cell,batch_0,disease,donor_0,1253
