,BANK1,BATF3,BLK,CD14,CD160,CD19,CD1C,CD22,CD3D,CD3E,CD3G,CD4,CD68,CD79A,CD79B,CD8A,CD8B,CLEC10A,CSF1R,FCER1A,FCGR3A,FCN1,GNLY,GZMB,HLA-DQA1,HLA-DRA,IGHD,IGHM,IL3RA,IL7R
cell_00010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,35.0,38.0,53.0,0.0,0.0,0.0,29.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
cell_00011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,51.0,41.0,68.0,0.0,0.0,0.0,67.0,50.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0
cell_00012,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,59.0,60.0,85.0,0.0,0.0,0.0,51.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0
cell_00013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,48.0,66.0,76.0,0.0,0.0,0.0,51.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
cell_00014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,33.0,76.0,73.0,0.0,0.0,0.0,98.0,32.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
cell_00015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,32.0,87.0,66.0,0.0,0.0,0.0,68.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
cell_00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,77.0,29.0,46.0,0.0,0.0,0.0,61.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0
cell_00017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,66.0,50.0,48.0,0.0,0.0,2.0,50.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0
cell_00018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,53.0,104.0,35.0,0.0,0.0,0.0,49.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,57.0
cell_00019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,56.0,59.0,50.0,0.0,0.0,0.0,51.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0
cell_00020,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,51.0,43.0,23.0,63.0,0.0,0.0,0.0,64.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
cell_00021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,118.0,80.0,54.0,0.0,0.0,0.0,67.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
cell_00022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,64.0,76.0,62.0,0.0,0.0,0.0,80.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,61.0
cell_00023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,71.0,75.0,57.0,0.0,0.0,0.0,80.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
cell_00024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,68.0,72.0,34.0,0.0,0.0,0.0,60.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,24.0
cell_00025,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,49.0,16.0,122.0,0.0,0.0,0.0,84.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0
cell_00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,92.0,58.0,24.0,0.0,0.0,0.0,65.0,39.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
cell_00027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,49.0,50.0,47.0,0.0,0.0,0.0,67.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0
cell_00028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,55.0,49.0,40.0,0.0,0.0,0.0,23.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0
cell_00029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,69.0,83.0,73.0,0.0,0.0,0.0,54.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0
cell_00030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,69.0,46.0,54.0,0.0,0.0,0.0,50.0,83.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,59.0
cell_00031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,46.0,44.0,54.0,0.0,3.0,0.0,38.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0
cell_00032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,62.0,28.0,36.0,0.0,0.0,0.0,48.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0
cell_00033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,67.0,51.0,28.0,0.0,0.0,0.0,59.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
cell_00034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,36.0,42.0,65.0,0.0,0.0,2.0,66.0,51.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0
cell_00035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,49.0,62.0,73.0,0.0,0.0,0.0,92.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,87.0
cell_00036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,73.0,81.0,26.0,0.0,0.0,0.0,47.0,104.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,68.0
cell_00037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,55.0,47.0,108.0,0.0,0.0,0.0,19.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0
cell_00038,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,55.0,28.0,83.0,46.0,0.0,0.0,0.0,51.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,58.0
cell_00039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,52.0,78.0,72.0,0.0,0.0,0.0,69.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0
cell_00040,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.0,54.0,41.0,62.0,0.0,0.0,0.0,53.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52.0
cell_00041,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,81.0,42.0,40.0,58.0,0.0,0.0,0.0,60.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0
cell_00042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,90.0,90.0,51.0,0.0,0.0,0.0,67.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
cell_00043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,44.0,35.0,70.0,0.0,0.0,0.0,39.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0
cell_00044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,58.0,87.0,62.0,0.0,0.0,0.0,102.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
cell_00045,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,37.0,28.0,35.0,2.0,0.0,0.0,85.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
cell_00046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,65.0,45.0,35.0,0.0,0.0,0.0,53.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
cell_00047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,63.0,42.0,61.0,0.0,0.0,0.0,28.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
cell_00048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,87.0,66.0,53.0,0.0,0.0,0.0,44.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,84.0
cell_00049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,45.0,77.0,61.0,0.0,0.0,0.0,62.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0
